System,CockroachDB,CockroachDB,CockroachDB,CockroachDB,TiDB,TiDB,TiDB,TiDB,Citus,Citus,Citus,Citus
Nodes,3,5,10,20,3,5,10,20,3,5,10,20
query_name,,,,,,,,,,,,
Q01,154.795,62.257,37.626,31.750,13.281,11.325,10.338,11.008,6.233,4.869,4.275,1.506
Q02,110.893,42.686,37.428,26.142,4.329,3.467,4.009,4.346,7.129,8.308,8.645,7.907
Q03,50.326,34.374,24.206,15.520,21.666,8.162,8.467,8.831,17.425,2.937,2.180,0.935
Q04,22.583,11.102,10.759,7.349,4.523,4.288,4.235,4.516,1.259,0.727,0.530,0.205
Q05,14.171,5.493,5.402,4.393,,,,,4.134,2.453,2.245,0.935
Q06,39.940,19.997,13.665,7.829,,,4.371,4.581,1.577,1.065,0.754,0.297
Q07,27.008,14.544,9.612,5.695,14.024,,11.225,11.960,6.162,2.514,1.960,0.779
Q08,24.000,12.391,8.471,5.383,3.027,1.871,1.058,1.132,12.564,2.323,1.802,0.775
Q09,158.268,38.477,34.019,26.168,67.766,63.359,66.340,67.582,14.614,7.568,6.756,2.665
Q10,31.622,18.369,13.996,13.292,28.435,32.896,32.630,37.509,7.754,5.456,5.004,4.414
Q11,24.675,18.518,9.962,7.987,7.143,6.140,6.320,7.214,2.425,2.870,2.824,2.428
Q12,47.281,21.386,12.015,10.281,10.891,10.110,8.525,8.889,3.884,1.651,1.406,0.500
Q13,20.852,12.834,10.097,12.617,83.324,80.996,85.550,85.128,175.404,184.834,189.692,183.103
Q14,56.213,26.620,21.048,19.004,9.564,8.591,7.454,7.936,2.365,1.623,1.170,0.453
Q15,117.610,182.500,248.449,278.643,10.468,9.006,7.945,8.432,5.270,5.216,5.168,4.864
Q16,10.719,11.356,15.930,12.930,6.008,6.002,5.249,6.869,10.925,13.556,5.730,11.296
Q17,115.023,66.301,33.302,38.639,0.463,0.374,0.331,0.324,,,,
Q18,86.743,61.843,53.271,34.981,,,,,17.244,2.868,2.028,1.790
Q19,77.221,45.433,39.354,33.125,0.742,0.222,0.214,0.230,3.066,2.197,1.770,0.701
Q20,143.948,88.041,72.298,33.694,13.737,12.029,12.356,12.821,,,,
Q21,55.123,28.695,20.842,12.198,132.863,147.540,109.696,160.139,6.222,1.929,1.379,0.581
Q22,12.192,6.802,10.189,7.064,12.380,11.224,12.165,12.036,,,,
