 table_name | shardid |   shard_name    | citus_table_type | colocation_id | nodename  | nodeport | shard_size 
------------+---------+-----------------+------------------+---------------+-----------+----------+------------
 customer   |  102042 | customer_102042 | distributed      |             2 | 10.0.1.21 |     5432 |   31285248
 customer   |  102043 | customer_102043 | distributed      |             2 | 10.0.1.22 |     5432 |   30752768
 customer   |  102044 | customer_102044 | distributed      |             2 | 10.0.1.23 |     5432 |   31252480
 customer   |  102045 | customer_102045 | distributed      |             2 | 10.0.1.24 |     5432 |   31285248
 customer   |  102046 | customer_102046 | distributed      |             2 | 10.0.1.25 |     5432 |   31260672
 customer   |  102047 | customer_102047 | distributed      |             2 | 10.0.1.26 |     5432 |   31244288
 customer   |  102048 | customer_102048 | distributed      |             2 | 10.0.1.27 |     5432 |   30736384
 customer   |  102049 | customer_102049 | distributed      |             2 | 10.0.1.28 |     5432 |   31252480
 customer   |  102050 | customer_102050 | distributed      |             2 | 10.0.1.29 |     5432 |   31285248
 customer   |  102051 | customer_102051 | distributed      |             2 | 10.0.1.30 |     5432 |   31244288
 customer   |  102052 | customer_102052 | distributed      |             2 | 10.0.1.31 |     5432 |   30720000
 customer   |  102053 | customer_102053 | distributed      |             2 | 10.0.1.32 |     5432 |   30720000
 customer   |  102054 | customer_102054 | distributed      |             2 | 10.0.1.33 |     5432 |   31268864
 customer   |  102055 | customer_102055 | distributed      |             2 | 10.0.1.34 |     5432 |   30752768
 customer   |  102056 | customer_102056 | distributed      |             2 | 10.0.1.35 |     5432 |   30752768
 customer   |  102057 | customer_102057 | distributed      |             2 | 10.0.1.36 |     5432 |   31293440
 customer   |  102058 | customer_102058 | distributed      |             2 | 10.0.1.37 |     5432 |   31244288
 customer   |  102059 | customer_102059 | distributed      |             2 | 10.0.1.38 |     5432 |   31277056
 customer   |  102060 | customer_102060 | distributed      |             2 | 10.0.1.39 |     5432 |   31293440
 customer   |  102061 | customer_102061 | distributed      |             2 | 10.0.1.21 |     5432 |   31260672
 customer   |  102062 | customer_102062 | distributed      |             2 | 10.0.1.22 |     5432 |   31244288
 customer   |  102063 | customer_102063 | distributed      |             2 | 10.0.1.23 |     5432 |   31260672
 customer   |  102064 | customer_102064 | distributed      |             2 | 10.0.1.24 |     5432 |   30752768
 customer   |  102065 | customer_102065 | distributed      |             2 | 10.0.1.25 |     5432 |   30752768
 customer   |  102066 | customer_102066 | distributed      |             2 | 10.0.1.26 |     5432 |   30752768
 customer   |  102067 | customer_102067 | distributed      |             2 | 10.0.1.27 |     5432 |   31301632
 customer   |  102068 | customer_102068 | distributed      |             2 | 10.0.1.28 |     5432 |   31285248
 customer   |  102069 | customer_102069 | distributed      |             2 | 10.0.1.29 |     5432 |   30711808
 customer   |  102070 | customer_102070 | distributed      |             2 | 10.0.1.30 |     5432 |   31252480
 customer   |  102071 | customer_102071 | distributed      |             2 | 10.0.1.31 |     5432 |   30752768
 customer   |  102072 | customer_102072 | distributed      |             2 | 10.0.1.32 |     5432 |   31252480
 customer   |  102073 | customer_102073 | distributed      |             2 | 10.0.1.33 |     5432 |   31277056
 lineitem   |  102170 | lineitem_102170 | distributed      |             2 | 10.0.1.21 |     5432 |  990175232
 lineitem   |  102171 | lineitem_102171 | distributed      |             2 | 10.0.1.22 |     5432 |  991330304
 lineitem   |  102172 | lineitem_102172 | distributed      |             2 | 10.0.1.23 |     5432 |  991895552
 lineitem   |  102173 | lineitem_102173 | distributed      |             2 | 10.0.1.24 |     5432 |  990748672
 lineitem   |  102174 | lineitem_102174 | distributed      |             2 | 10.0.1.25 |     5432 |  990167040
 lineitem   |  102175 | lineitem_102175 | distributed      |             2 | 10.0.1.26 |     5432 |  990756864
 lineitem   |  102176 | lineitem_102176 | distributed      |             2 | 10.0.1.27 |     5432 |  990093312
 lineitem   |  102177 | lineitem_102177 | distributed      |             2 | 10.0.1.28 |     5432 |  991346688
 lineitem   |  102178 | lineitem_102178 | distributed      |             2 | 10.0.1.29 |     5432 |  990142464
 lineitem   |  102179 | lineitem_102179 | distributed      |             2 | 10.0.1.30 |     5432 |  991895552
 lineitem   |  102180 | lineitem_102180 | distributed      |             2 | 10.0.1.31 |     5432 |  991944704
 lineitem   |  102181 | lineitem_102181 | distributed      |             2 | 10.0.1.32 |     5432 |  989528064
 lineitem   |  102182 | lineitem_102182 | distributed      |             2 | 10.0.1.33 |     5432 |  991969280
 lineitem   |  102183 | lineitem_102183 | distributed      |             2 | 10.0.1.34 |     5432 |  990765056
