 placementid | shardid | shardstate | shardlength | groupid 
-------------+---------+------------+-------------+---------
           1 |  102008 |          1 |           0 |       0
           2 |  102008 |          1 |           0 |       1
           3 |  102008 |          1 |           0 |       2
           4 |  102009 |          1 |           0 |       0
           5 |  102009 |          1 |           0 |       1
           6 |  102009 |          1 |           0 |       2
           7 |  102010 |          1 |           0 |       0
           8 |  102010 |          1 |           0 |       1
           9 |  102010 |          1 |           0 |       2
          10 |  102011 |          1 |           0 |       0
          11 |  102011 |          1 |           0 |       1
          12 |  102011 |          1 |           0 |       2
          13 |  102012 |          1 |           0 |       0
          14 |  102012 |          1 |           0 |       1
          15 |  102012 |          1 |           0 |       2
          16 |  102013 |          1 |           0 |       0
          17 |  102013 |          1 |           0 |       1
          18 |  102013 |          1 |           0 |       2
          19 |  102014 |          1 |           0 |       1
          20 |  102015 |          1 |           0 |       2
          21 |  102016 |          1 |           0 |       1
          22 |  102017 |          1 |           0 |       2
          23 |  102018 |          1 |           0 |       1
          24 |  102019 |          1 |           0 |       2
          25 |  102020 |          1 |           0 |       1
          26 |  102021 |          1 |           0 |       2
          27 |  102022 |          1 |           0 |       1
          28 |  102023 |          1 |           0 |       2
          29 |  102024 |          1 |           0 |       1
          30 |  102025 |          1 |           0 |       2
          31 |  102026 |          1 |           0 |       1
          32 |  102027 |          1 |           0 |       2
          33 |  102028 |          1 |           0 |       1
          34 |  102029 |          1 |           0 |       2
          35 |  102030 |          1 |           0 |       1
          36 |  102031 |          1 |           0 |       2
          37 |  102032 |          1 |           0 |       1
          38 |  102033 |          1 |           0 |       2
          39 |  102034 |          1 |           0 |       1
          40 |  102035 |          1 |           0 |       2
          41 |  102036 |          1 |           0 |       1
          42 |  102037 |          1 |           0 |       2
          43 |  102038 |          1 |           0 |       1
          44 |  102039 |          1 |           0 |       2
          45 |  102040 |          1 |           0 |       1
          46 |  102041 |          1 |           0 |       2
          47 |  102042 |          1 |           0 |       1
          48 |  102043 |          1 |           0 |       2
          49 |  102044 |          1 |           0 |       1
          50 |  102045 |          1 |           0 |       2
          51 |  102046 |          1 |           0 |       1
          52 |  102047 |          1 |           0 |       2
          53 |  102048 |          1 |           0 |       1
          54 |  102049 |          1 |           0 |       2
          55 |  102050 |          1 |           0 |       1
          56 |  102051 |          1 |           0 |       2
          57 |  102052 |          1 |           0 |       1
          58 |  102053 |          1 |           0 |       2
          59 |  102054 |          1 |           0 |       1
          60 |  102055 |          1 |           0 |       2
          61 |  102056 |          1 |           0 |       1
          62 |  102057 |          1 |           0 |       2
          63 |  102058 |          1 |           0 |       1
          64 |  102059 |          1 |           0 |       2
          65 |  102060 |          1 |           0 |       1
          66 |  102061 |          1 |           0 |       2
          67 |  102062 |          1 |           0 |       1
          68 |  102063 |          1 |           0 |       2
          69 |  102064 |          1 |           0 |       1
          70 |  102065 |          1 |           0 |       2
          71 |  102066 |          1 |           0 |       1
          72 |  102067 |          1 |           0 |       2
          73 |  102068 |          1 |           0 |       1
          74 |  102069 |          1 |           0 |       2
          75 |  102070 |          1 |           0 |       1
          76 |  102071 |          1 |           0 |       2
          77 |  102072 |          1 |           0 |       1
          78 |  102073 |          1 |           0 |       2
          79 |  102074 |          1 |           0 |       1
          80 |  102075 |          1 |           0 |       2
          81 |  102076 |          1 |           0 |       1
          82 |  102077 |          1 |           0 |       2
(82 rows)

