TYPE	INSTANCE	STATUS_ADDRESS	VERSION	GIT_HASH	START_TIME	UPTIME	SERVER_ID
tidb	10.0.1.22:4000	10.0.1.22:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-27 13:09:42	2h38m34.464687384s	1869
tidb	10.0.1.21:4000	10.0.1.21:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-27 13:09:42	2h38m34.464696508s	948
tidb	10.0.1.20:4000	10.0.1.20:10080	8.5.5	1fa258b833ff113883beeba40bc130be7ce66610	2026-04-27 13:09:42	2h38m34.464699202s	239
pd	10.0.1.22:2379	10.0.1.22:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-27 13:09:35	2h38m41.464701325s	0
pd	10.0.1.20:2379	10.0.1.20:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-27 13:09:34	2h38m42.464703338s	0
pd	10.0.1.21:2379	10.0.1.21:2379	8.5.5	9c9a8c8a25684b3516e11bc92922df99302c9c46	2026-04-27 13:09:35	2h38m41.464705271s	0
tikv	10.0.1.24:20160	10.0.1.24:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.464707264s	0
tikv	10.0.1.27:20160	10.0.1.27:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.46471181s	0
tikv	10.0.1.23:20160	10.0.1.23:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.464713753s	0
tikv	10.0.1.28:20160	10.0.1.28:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.464715676s	0
tikv	10.0.1.26:20160	10.0.1.26:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.464717539s	0
tikv	10.0.1.29:20160	10.0.1.29:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:36	2h38m40.464719322s	0
tikv	10.0.1.25:20160	10.0.1.25:20180	8.5.5	a0234aad114258b60e0ec23c17486c79845299be	2026-04-27 13:09:37	2h38m39.464721074s	0
