id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_14	10.00	10	root		time:9.24s, loops:2, RU:200909.10, Concurrency:OFF	tpch.lineitem.l_orderkey, Column#34, tpch.orders.o_orderdate, tpch.orders.o_shippriority	2.52 KB	N/A
└─TopN_17	10.00	10	root		time:9.24s, loops:2	Column#34:desc, tpch.orders.o_orderdate, offset:0, count:10	76.8 KB	0 Bytes
  └─HashAgg_22	15.62	339876	root		time:9.22s, loops:336, partial_worker:{wall_time:9.148165723s, concurrency:5, task_num:876, tot_wait:45.174625279s, tot_exec:547.396229ms, tot_time:45.73967448s, max:9.147936366s, p95:9.147936366s}, final_worker:{wall_time:9.237957094s, concurrency:5, task_num:25, tot_wait:52.57µs, tot_exec:195.674844ms, tot_time:46.169344574s, max:9.237634109s, p95:9.237634109s}	group by:Column#36, Column#37, Column#38, funcs:sum(Column#35)->Column#34, funcs:firstrow(Column#36)->tpch.orders.o_orderdate, funcs:firstrow(Column#37)->tpch.orders.o_shippriority, funcs:firstrow(Column#38)->tpch.lineitem.l_orderkey	85.6 MB	0 Bytes
    └─Projection_77	15.62	896499	root		time:9.14s, loops:877, Concurrency:OFF	mul(tpch.lineitem.l_extendedprice, minus(1, tpch.lineitem.l_discount))->Column#35, tpch.orders.o_orderdate->Column#36, tpch.orders.o_shippriority->Column#37, tpch.lineitem.l_orderkey->Column#38	834.7 KB	N/A
      └─IndexJoin_30	15.62	896499	root		time:9.03s, loops:877, inner:{total:41.8s, concurrency:5, task:176, construct:3.5s, fetch:38.1s, build:234.9ms}, probe:900.6ms	inner join, inner:TableReader_26, outer key:tpch.orders.o_orderkey, inner key:tpch.lineitem.l_orderkey, equal cond:eq(tpch.orders.o_orderkey, tpch.lineitem.l_orderkey)	24.4 MB	N/A
        ├─HashJoin_65(Build)	12.50	4428689	root		time:3.26s, loops:4330, build_hash_table:{total:517.7ms, fetch:246.8ms, build:271ms}, probe:{concurrency:5, total:44.5s, max:8.9s, probe:12.6s, fetch and wait:31.9s}	inner join, equal:[eq(tpch.customer.c_custkey, tpch.orders.o_custkey)]	59.7 MB	0 Bytes
        │ ├─TableReader_71(Build)	10.00	901110	root		time:263.2ms, loops:879, cop_task: {num: 49, max: 141.6ms, min: 618.9µs, avg: 26.6ms, p95: 136.1ms, max_proc_keys: 250848, p95_proc_keys: 250848, tot_proc: 1.21s, tot_wait: 7.07ms, copr_cache_hit_ratio: 0.49, build_task_duration: 19.3µs, max_distsql_concurrency: 4}, rpc_info:{Cop:{num_rpc:49, total_time:1.3s}}	data:Selection_70	2.50 MB	N/A
        │ │ └─Selection_70	10.00	901110	cop[tikv]		tikv_task:{proc max:136ms, min:0s, avg: 50.9ms, p80:112ms, p95:136ms, iters:4594, tasks:49}, scan_detail: {total_process_keys: 2196132, total_process_keys_size: 446919215, total_keys: 2196157, get_snapshot_time: 1.24ms, rocksdb: {key_skipped_count: 2196132, block: {cache_hit_count: 14683}}}, time_detail: {total_process_time: 1.21s, total_suspend_time: 2.16ms, total_wait_time: 7.07ms, total_kv_read_wall_time: 1.04s, tikv_wall_time: 1.23s}	eq(tpch.customer.c_mktsegment, "AUTOMOBILE")	N/A	N/A
        │ │   └─TableFullScan_69	10000.00	4500000	cop[tikv]	table:customer	tikv_task:{proc max:128ms, min:0s, avg: 45ms, p80:96ms, p95:124ms, iters:4594, tasks:49}	keep order:false, stats:pseudo	N/A	N/A
        │ └─TableReader_68(Probe)	3323.33	22144151	root		time:612.5ms, loops:21553, cop_task: {num: 659, max: 124.3ms, min: 502.4µs, avg: 56.2ms, p95: 91.1ms, max_proc_keys: 103392, p95_proc_keys: 102368, tot_proc: 33.3s, tot_wait: 165.7ms, copr_cache_hit_ratio: 0.05, build_task_duration: 34.7µs, max_distsql_concurrency: 15}, rpc_info:{Cop:{num_rpc:659, total_time:37s}}	data:Selection_67	24.6 MB	N/A
