STORE_ID	ADDRESS	STORE_STATE	STORE_STATE_NAME	LABEL	VERSION	CAPACITY	AVAILABLE	LEADER_COUNT	LEADER_WEIGHT	LEADER_SCORE	LEADER_SIZE	REGION_COUNT	REGION_WEIGHT	REGION_SCORE	REGION_SIZE	START_TS	LAST_HEARTBEAT_TS	UPTIME
5	10.0.1.33:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	15	1	15	4080	44	1	19568.44900244397	11807	2026-04-26 10:58:00	2026-04-26 18:24:13	7h26m13.982555942s
8	10.0.1.39:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	13	1	13	3261	45	1	19197.555899925246	11584	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.003087601s
12	10.0.1.25:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	15	1	15	3764	45	1	19468.639892515213	11747	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.305331535s
19	10.0.1.28:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	14	1	14	3770	43	1	19133.734477426027	11545	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.422978014s
4	10.0.1.38:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	18	1	18	4413	45	1	19318.26361316651	11656	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.055709378s
6	10.0.1.29:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	14	1	14	3552	49	1	19426.382960203235	11722	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.395125587s
10	10.0.1.27:20160	0	Up	null	8.5.5	450.4GiB	423.2GiB	15	1	15	3957	44	1	19562.55811558006	11803	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.360331261s
13	10.0.1.26:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	17	1	17	4371	45	1	19641.654749779093	11851	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.569466056s
17	10.0.1.37:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	18	1	18	4255	47	1	19401.152720783924	11706	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.429403296s
1	10.0.1.36:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	15	1	15	4012	45	1	19762.518814330135	11924	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.619049297s
11	10.0.1.34:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	12	1	12	3105	45	1	19112.74663464271	11532	2026-04-26 10:58:00	2026-04-26 18:24:07	7h26m7.854264836s
18	10.0.1.24:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	16	1	16	4350	44	1	19461.820665377836	11743	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.429172907s
16	10.0.1.32:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	15	1	15	3954	44	1	19258.911703146445	11621	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.327302777s
7	10.0.1.23:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	15	1	15	3999	44	1	19249.30388571486	11615	2026-04-26 10:58:00	2026-04-26 18:24:13	7h26m13.969187921s
9	10.0.1.35:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	15	1	15	3956	45	1	19623.543169727363	11840	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.462987878s
14	10.0.1.30:20160	0	Up	null	8.5.5	450.4GiB	423.3GiB	15	1	15	4064	45	1	19294.773147726257	11642	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.478587169s
15	10.0.1.31:20160	0	Up	null	8.5.5	450.4GiB	423.4GiB	14	1	14	3515	49	1	19549.515695038757	11796	2026-04-26 10:58:00	2026-04-26 18:24:14	7h26m14.155145979s
