TYPE	INSTANCE	DEVICE_TYPE	DEVICE_NAME	NAME	VALUE
tidb	10.0.1.20:4000	cpu	cpu	cpu-arch	amd64
tidb	10.0.1.20:4000	cpu	cpu	cpu-logical-cores	12
tidb	10.0.1.20:4000	cpu	cpu	cpu-physical-cores	12
tidb	10.0.1.20:4000	cpu	cpu	cpu-frequency	2399.97MHz
tidb	10.0.1.20:4000	cpu	cpu	cache	1024
tidb	10.0.1.20:4000	disk	sda1	fstype	ext4
tidb	10.0.1.20:4000	disk	sda1	opts	rw,relatime
tidb	10.0.1.20:4000	disk	sda1	path	/
tidb	10.0.1.20:4000	disk	sda1	total	483632488448
tidb	10.0.1.20:4000	disk	sda1	free	446654775296
tidb	10.0.1.20:4000	disk	sda1	used	17271545856
tidb	10.0.1.20:4000	disk	sda1	free-percent	0.96
tidb	10.0.1.20:4000	disk	sda1	used-percent	0.04
tidb	10.0.1.20:4000	disk	sda15	fstype	vfat
tidb	10.0.1.20:4000	disk	sda15	opts	rw,relatime
tidb	10.0.1.20:4000	disk	sda15	path	/boot/efi
tidb	10.0.1.20:4000	disk	sda15	total	264281088
tidb	10.0.1.20:4000	disk	sda15	free	264136192
tidb	10.0.1.20:4000	disk	sda15	used	144896
tidb	10.0.1.20:4000	disk	sda15	free-percent	1.00
tidb	10.0.1.20:4000	disk	sda15	used-percent	0.00
tidb	10.0.1.20:4000	memory	memory	capacity	24592846848
tidb	10.0.1.20:4000	net	enp7s0	mac	86:00:00:5f:4b:4b
tidb	10.0.1.20:4000	net	enp7s0	is-up	true
tidb	10.0.1.20:4000	net	enp7s0	is-broadcast	true
tidb	10.0.1.20:4000	net	enp7s0	is-multicast	true
tidb	10.0.1.20:4000	net	enp7s0	is-loopback	false
tidb	10.0.1.20:4000	net	enp7s0	is-point-to-point	false
tidb	10.0.1.20:4000	net	enp7s0	addresses	10.0.1.20/32,fe80::8400:ff:fe5f:4b4b/64
tidb	10.0.1.20:4000	net	eth0	mac	92:00:07:b0:bb:ee
tidb	10.0.1.20:4000	net	eth0	is-up	true
tidb	10.0.1.20:4000	net	eth0	is-broadcast	true
tidb	10.0.1.20:4000	net	eth0	is-multicast	true
tidb	10.0.1.20:4000	net	eth0	is-loopback	false
tidb	10.0.1.20:4000	net	eth0	is-point-to-point	false
tidb	10.0.1.20:4000	net	eth0	addresses	100.64.225.206/32,2a01:4f8:1c1a:9894::1/64,fe80::9000:7ff:feb0:bbee/64
tidb	10.0.1.20:4000	net	lo	mac	
tidb	10.0.1.20:4000	net	lo	is-up	true
tidb	10.0.1.20:4000	net	lo	is-broadcast	false
tidb	10.0.1.20:4000	net	lo	is-multicast	false
tidb	10.0.1.20:4000	net	lo	is-loopback	true
tidb	10.0.1.20:4000	net	lo	is-point-to-point	false
tidb	10.0.1.20:4000	net	lo	addresses	127.0.0.1/8,::1/128
pd	10.0.1.22:2379	cpu	cpu	cpu-arch	amd64
pd	10.0.1.22:2379	cpu	cpu	cpu-logical-cores	12
pd	10.0.1.22:2379	cpu	cpu	cpu-physical-cores	12
pd	10.0.1.22:2379	cpu	cpu	cpu-frequency	2396.40MHz
pd	10.0.1.22:2379	cpu	cpu	cache	1024
pd	10.0.1.22:2379	disk	sda1	fstype	ext4
pd	10.0.1.22:2379	disk	sda1	opts	rw,relatime
pd	10.0.1.22:2379	disk	sda1	path	/
pd	10.0.1.22:2379	disk	sda1	total	483632488448
pd	10.0.1.22:2379	disk	sda1	free	447777546240
pd	10.0.1.22:2379	disk	sda1	used	16148774912
pd	10.0.1.22:2379	disk	sda1	free-percent	0.97
pd	10.0.1.22:2379	disk	sda1	used-percent	0.03
pd	10.0.1.22:2379	disk	sda15	fstype	vfat
pd	10.0.1.22:2379	disk	sda15	opts	rw,relatime
pd	10.0.1.22:2379	disk	sda15	path	/boot/efi
pd	10.0.1.22:2379	disk	sda15	total	264281088
pd	10.0.1.22:2379	disk	sda15	free	264136192
pd	10.0.1.22:2379	disk	sda15	used	144896
pd	10.0.1.22:2379	disk	sda15	free-percent	1.00
pd	10.0.1.22:2379	disk	sda15	used-percent	0.00
pd	10.0.1.22:2379	memory	memory	capacity	24592855040
pd	10.0.1.22:2379	net	enp7s0	mac	86:00:00:5f:4b:48
pd	10.0.1.22:2379	net	enp7s0	is-up	true
pd	10.0.1.22:2379	net	enp7s0	is-broadcast	true
pd	10.0.1.22:2379	net	enp7s0	is-multicast	true
pd	10.0.1.22:2379	net	enp7s0	is-loopback	false
pd	10.0.1.22:2379	net	enp7s0	is-point-to-point	false
pd	10.0.1.22:2379	net	enp7s0	addresses	10.0.1.22/32,fe80::8400:ff:fe5f:4b48/64
pd	10.0.1.22:2379	net	eth0	mac	92:00:07:b0:bb:ec
pd	10.0.1.22:2379	net	eth0	is-up	true
pd	10.0.1.22:2379	net	eth0	is-broadcast	true
pd	10.0.1.22:2379	net	eth0	is-multicast	true
pd	10.0.1.22:2379	net	eth0	is-loopback	false
pd	10.0.1.22:2379	net	eth0	is-point-to-point	false
pd	10.0.1.22:2379	net	eth0	addresses	100.64.12.26/32,2a01:4f8:1c1a:857::1/64,fe80::9000:7ff:feb0:bbec/64
pd	10.0.1.22:2379	net	lo	mac	
pd	10.0.1.22:2379	net	lo	is-up	true
pd	10.0.1.22:2379	net	lo	is-broadcast	false
